date,avg_stress,max_stress,rest_hr,hrv_avg,sleep_score,body_battery_max
2026-01-24,,,,,,
2026-01-25,,,,,,
2026-01-26,,,,,,
2026-01-27,,,,,,
2026-01-28,,,,,,
2026-01-29,,,,,,
2026-01-30,,,,,,
2026-01-31,,,,,,
2026-02-01,,,,,,
2026-02-02,,,,,,
2026-02-03,,,,,,
2026-02-04,,,,,,
2026-02-05,,,,,,
2026-02-06,,,,,,
2026-02-07,,,,,,
2026-02-08,,,,,,
2026-02-09,,,,,,
2026-02-10,,,,,,
2026-02-11,,,,,,
2026-02-12,,,,,,
2026-02-13,,,,,,
2026-02-14,,,,,,
2026-02-15,,,,,,
2026-02-16,44.0,90.0,70.0,,,53.0
2026-02-17,65.0,100.0,74.0,,,84.0
2026-02-18,-1.0,,,,,
2026-02-19,42.0,88.0,66.0,,,38.0
2026-02-20,43.0,90.0,66.0,42.0,,57.0
2026-02-21,26.0,74.0,67.0,,,63.0
2026-02-22,32.0,95.0,69.0,,,75.0
2026-02-23,24.0,54.0,72.0,,,79.0
